Person,Organization,EdgeType
0,6848,Career
0,6849,Career
0,6850,Career
0,6805,PhD
1,6852,Career
1,6891,Career
1,6892,Career
1,6805,PhD
1,6869,Career
2,6900,Career
2,6805,PhD
3,6824,Career
3,6931,Career
3,6805,PhD
4,6795,Career
4,6805,PhD
4,6934,Career
4,6933,Career
5,6955,Career
5,6805,PhD
6,6978,Career
6,6979,Career
6,6805,PhD
6,6853,Career
7,6804,Career
7,6805,PhD
7,6814,Career
7,6989,Career
8,6805,PhD
8,6997,Career
9,6892,Career
9,6805,PhD
9,6998,Career
9,6999,Career
10,6805,PhD
10,6853,Career
11,6805,PhD
11,6853,Career
12,6866,Career
12,7036,Career
12,6805,PhD
13,7051,Career
13,6805,PhD
14,7002,Career
14,6899,Career
14,6805,PhD
15,6805,PhD
15,6853,Career
16,7016,Career
16,6805,PhD
17,6792,Career
17,7035,Career
17,6805,PhD
18,7024,Career
18,6805,PhD
18,7243,Career
18,7244,Career
18,7245,Career
18,6853,Career
19,7269,Career
19,7268,Career
19,6805,PhD
19,6853,Career
20,6852,Career
20,6805,PhD
20,6910,Career
21,6805,PhD
21,6798,Career
21,7302,Career
22,7305,Career
22,6869,Career
22,7303,Career
22,7304,Career
22,6985,Career
22,7306,Career
22,6805,PhD
23,6852,Career
23,6805,PhD
24,7377,Career
24,6795,Career
24,6805,PhD
25,7384,Career
25,6859,Career
25,6805,PhD
25,6805,Career
26,7393,Career
26,7394,Career
26,6805,PhD
27,7401,Career
27,6805,PhD
27,6805,Career
28,7404,Career
28,6805,PhD
29,6970,Career
29,6805,PhD
29,6853,Career
30,7228,Career
30,6805,PhD
30,6807,Career
31,6805,PhD
31,6853,Career
32,7490,Career
32,6805,PhD
33,7497,Career
33,7498,Career
33,6805,PhD
34,6842,Career
34,6805,PhD
35,7216,Career
35,7002,Career
35,7508,Career
35,6805,PhD
35,7509,Career
36,7516,Career
36,6805,PhD
36,6990,Career
36,7255,Career
37,6795,Career
37,6805,PhD
37,6853,Career
38,6805,PhD
38,7527,Career
39,6824,Career
39,6805,PhD
40,6805,PhD
40,6853,Career
41,7568,Career
41,6805,PhD
41,6933,Career
42,6866,Career
42,6795,Career
42,6805,PhD
43,6795,Career
43,7579,Career
43,6805,PhD
44,7025,Career
44,6812,Career
44,6805,PhD
45,7273,Career
45,7540,Career
45,6805,PhD
46,6805,PhD
46,7599,Career
47,6805,PhD
47,6781,Career
48,6804,Career
48,6805,PhD
48,7638,Career
49,7640,Career
49,7641,Career
49,7642,Career
49,6899,Career
49,6805,PhD
50,7658,Career
50,6795,Career
50,6805,PhD
51,7298,Career
51,6805,PhD
52,7080,Career
52,7137,Career
52,6805,PhD
52,6853,Career
53,7672,Career
53,7673,Career
53,6805,PhD
53,7671,Career
54,6819,Career
54,6805,PhD
54,7678,Career
55,6792,Career
55,7444,Career
55,6805,PhD
56,7137,Career
56,6805,PhD
57,6952,Career
57,6953,Career
57,6805,PhD
58,7372,Career
58,6805,PhD
59,7706,Career
59,6805,PhD
60,7707,Career
60,6805,PhD
60,6853,Career
61,6805,PhD
61,7767,Career
62,7090,Career
62,6805,PhD
63,6848,Career
63,6956,Career
63,6805,PhD
63,7837,Career
64,6805,PhD
64,6853,Career
65,6849,Career
65,6805,PhD
66,7864,Career
66,6805,PhD
67,6805,PhD
67,6813,Career
68,7884,Career
68,7882,Career
68,7883,Career
68,6892,Career
68,7885,Career
68,7886,Career
68,7887,Career
68,7888,Career
68,7889,Career
68,7890,Career
68,7891,Career
68,6805,PhD
69,6785,Career
69,6805,PhD
69,7903,Career
70,7361,Career
70,7956,Career
70,7957,Career
70,7958,Career
70,6807,Career
70,7960,Career
70,7959,Career
70,6805,PhD
71,8185,Career
71,8186,Career
71,6805,PhD
71,6823,Career
72,6800,Career
72,8220,Career
72,8219,Career
72,6852,Career
72,6805,PhD
73,6800,Career
73,8248,Career
73,6805,PhD
73,8249,Career
74,6853,Career
74,6882,Career
74,6891,Career
74,6805,PhD
74,6869,Career
75,6805,PhD
75,8317,Career
76,6961,Career
76,7002,Career
76,7884,Career
76,6805,PhD
76,8318,Career
77,6848,Career
77,6795,Career
77,6805,PhD
78,6804,Career
78,6805,PhD
78,8360,Career
78,8361,Career
78,8362,Career
78,6795,Career
78,6908,Career
78,7914,Career
79,6795,Career
79,8363,Career
79,8364,Career
79,6805,PhD
79,8365,Career
80,6792,Career
80,6810,Career
80,8387,Career
80,8388,Career
80,6805,PhD
81,6848,Career
81,7394,Career
81,6805,PhD
81,8390,Career
81,8391,Career
82,8392,Career
82,8393,Career
82,6962,Career
82,6805,PhD
82,6985,Career
83,6848,Career
83,8404,Career
83,6805,PhD
84,6856,Career
84,7080,Career
84,6805,PhD
84,8526,Career
84,8527,Career
85,8537,Career
85,8538,Career
85,8539,Career
85,6805,PhD
86,6904,Career
86,8562,Career
86,6805,PhD
87,6848,Career
87,7042,Career
87,8563,Career
87,8564,Career
87,6805,PhD
87,6956,Career
87,6933,Career
88,6787,Career
88,6805,PhD
88,8582,Career
88,8583,Career
88,8584,Career
88,6905,Career
88,8581,Career
89,6784,Career
89,6848,Career
89,8592,Career
89,6805,PhD
90,6848,Career
90,8624,Career
90,8623,Career
90,6805,PhD
90,6869,Career
91,6805,PhD
91,8629,Career
92,8640,Career
92,8641,Career
92,6795,Career
92,6805,PhD
93,6795,Career
93,8676,Career
93,6805,PhD
93,8678,Career
93,8677,Career
94,6848,Career
94,8724,Career
94,6805,PhD
95,6795,Career
95,6805,PhD
95,8023,Career
96,8768,Career
96,8769,Career
96,7394,Career
96,8771,Career
96,8772,Career
96,8773,Career
96,8774,Career
96,8775,Career
96,6795,Career
96,8770,Career
96,6805,PhD
96,6905,Career
97,6852,Career
97,6805,PhD
97,8780,Career
97,8781,Career
97,8782,Career
97,6933,Career
98,6852,Career
98,6805,PhD
98,7134,Career
99,6800,Career
99,8848,Career
99,6805,PhD
99,8849,Career
99,6795,Career
99,6869,Career
100,6904,Career
100,6985,Career
100,7042,Career
100,7900,Career
100,6805,PhD
101,6848,Career
101,6805,PhD
102,6805,PhD
102,7900,Career
102,8890,Career
102,8891,Career
102,8892,Career
102,8893,Career
102,6853,Career
103,7128,Career
103,6805,PhD
104,9011,Career
104,6805,PhD
104,6933,Career
105,9024,Career
105,9025,Career
105,6805,PhD
105,7546,Career
105,6794,Career
105,6933,Career
106,6848,Career
106,6961,Career
106,9027,Career
106,9028,Career
106,6805,PhD
106,7884,Career
106,9029,Career
107,6848,Career
107,7157,Career
107,6805,PhD
