From,To,Year,Weight
6781,8436,1964,1
6781,7128,1972,1
6782,6823,1972,1
6787,6890,1973,1
6787,6805,1973,1
6794,6891,1973,1
6792,6949,1973,1
6797,7979,1973,1
6782,6813,1973,1
6949,6794,1974,1
6788,7738,1976,1
6788,10943,1976,1
6799,6874,1976,1
6785,6848,1977,1
6795,6891,1977,1
6795,6807,1977,1
6798,6877,1977,1
6801,6797,1977,1
6802,7132,1977,1
6805,6890,1977,1
6891,7382,1977,1
6800,6801,1977,1
6782,7971,1977,1
6790,6891,1978,1
6790,6892,1978,1
6794,7128,1978,2
6794,6795,1978,1
6794,6806,1978,1
6795,7882,1978,1
6795,6798,1978,1
6800,6823,1978,1
6787,6848,1978,1
6804,6848,1978,1
6805,7128,1978,1
6806,7617,1978,1
6806,6802,1978,1
6806,7747,1978,1
6806,7471,1978,1
6807,6891,1978,1
6808,7128,1978,1
6789,7942,1978,1
7128,6892,1978,1
6874,6875,1978,1
6781,6827,1978,1
6781,7134,1978,1
6783,7136,1978,2
6784,6848,1979,2
6788,7134,1979,1
6790,6891,1979,1
6794,7137,1979,1
6794,6891,1979,1
6795,6848,1979,1
6797,6891,1979,1
6802,6800,1979,1
6805,7377,1979,1
6806,6807,1979,1
7980,6892,1979,1
6800,7980,1979,1
6800,7326,1979,1
7128,7142,1979,1
6801,6795,1979,1
6801,7468,1979,1
6781,7938,1979,1
6783,7754,1979,1
6783,7615,1979,1
6784,7615,1980,1
6787,7128,1980,1
6788,6811,1980,1
6806,6830,1980,1
6790,7132,1980,1
6794,7137,1980,1
6794,6794,1980,2
6794,6891,1980,1
6794,6810,1980,1
6800,6848,1980,1
6800,8483,1980,1
6800,6795,1980,1
6800,6799,1980,1
6803,6885,1980,1
6804,6869,1980,1
6804,6829,1980,1
6805,8305,1980,1
6805,6781,1980,1
6795,6800,1980,1
6795,6891,1980,1
6795,7303,1980,1
6823,7944,1980,1
6807,7128,1980,1
7382,7975,1980,1
6801,6824,1980,1
6801,6953,1980,1
6801,7483,1980,1
6798,6949,1980,1
6798,6798,1980,1
6785,6816,1980,1
6781,6930,1980,1
6782,6797,1980,1
6782,6782,1980,1
6785,6848,1981,2
6785,7326,1981,1
6789,6786,1981,1
6794,8001,1981,1
6794,6826,1981,1
6794,6781,1981,1
6801,7608,1981,1
6804,6891,1981,1
6805,8287,1981,1
6806,6812,1981,1
6806,7943,1981,1
6810,6810,1981,1
6810,8133,1981,1
6810,9038,1981,1
7132,6794,1981,1
6795,6794,1981,2
6809,8008,1981,1
6809,6986,1981,1
6809,8295,1981,1
6788,6788,1981,1
7128,6933,1981,1
6784,6784,1981,1
6814,6814,1981,1
6800,6891,1981,1
6800,8507,1981,1
6800,6795,1981,1
6800,6782,1981,1
6800,6807,1981,1
6891,6783,1981,1
6802,7128,1981,1
6802,8494,1981,1
6781,6890,1981,1
6781,6791,1981,1
6783,6945,1981,1
6783,6805,1981,1
6783,6933,1981,1
6784,7993,1982,1
6794,7137,1982,1
6786,7929,1982,1
6800,6794,1982,1
6801,7904,1982,1
6805,6805,1982,1
6807,7956,1982,1
8295,7042,1982,1
